checkpoint,stage,global_step,conditioning,group,samples,evaluation_failures,cer_mean,wer_mean,wavlm_similarity_mean,camp_similarity_mean,dnsmos_ovrl_mean,dnsmos_sig_mean,dnsmos_bak_mean,cer_micro,wer_micro
step_00007360,2,7360,directly_optimized_voicepack,majestic_en,200,0,0.0035176137876316337,0.00853724951519069,0.8164025193452835,0.8258395040035248,3.351018578573692,3.575001158916267,4.1856121519742056,0.003249135310764071,0.008208594881699663
step_00007360,2,7360,directly_optimized_voicepack,majestic_mixed,50,0,0.0,0.03333333333333333,0.7727333521842956,0.6921661472320557,3.440848201740906,3.6700322591004007,4.19105601715732,0.0,0.041666666666666664
step_00007360,2,7360,directly_optimized_voicepack,majestic_zh,200,0,0.0034291810401650214,0.0,0.8259528407454491,0.7165695029497147,3.4646893805995957,3.680687830338181,4.1960964544626345,0.0034391534391534392,
step_00008360,2,8360,directly_optimized_voicepack,majestic_en,200,0,0.0029087428198896993,0.007373033828916182,0.8195619601011276,0.827369047999382,3.3710738871620887,3.5935257555325095,4.188216931536091,0.0028298920448590293,0.00772573635924674
step_00008360,2,8360,directly_optimized_voicepack,majestic_mixed,50,0,0.0,0.03333333333333333,0.7767044413089752,0.697718950510025,3.4550360564995186,3.682729408410583,4.192925898947252,0.0,0.041666666666666664
step_00008360,2,8360,directly_optimized_voicepack,majestic_zh,200,0,0.0016889704498400148,0.0,0.8316592264175415,0.722983792424202,3.4830092373235675,3.6965347312598102,4.200697102964374,0.001851851851851852,
step_00009360,2,9360,directly_optimized_voicepack,majestic_en,200,0,0.0035176137876316337,0.008831367162249516,0.8203876677155495,0.8241383150219918,3.370335739788561,3.5940861135828817,4.188966016042795,0.003249135310764071,0.008691453404152583
step_00009360,2,9360,directly_optimized_voicepack,majestic_mixed,50,0,0.00125,0.03333333333333333,0.7762939071655274,0.7124360620975494,3.4461699006946716,3.6756326903367293,4.189241046860863,0.0008865248226950354,0.041666666666666664
step_00009360,2,9360,directly_optimized_voicepack,majestic_zh,200,0,0.0026755925234186106,0.0,0.8316356870532036,0.7383947488665581,3.475705845189035,3.69032842290272,4.196587705380519,0.0026455026455026454,
step_00010360,2,10360,directly_optimized_voicepack,majestic_en,200,0,0.0033926137876316344,0.007912249515190692,0.8096406638622284,0.8189029344916343,3.3607999147145518,3.5844634655383034,4.187509551305954,0.0031443244942878103,0.00772573635924674
step_00010360,2,10360,directly_optimized_voicepack,majestic_mixed,50,0,0.0,0.03333333333333333,0.7685590815544129,0.7159444892406464,3.4568792151999816,3.6843543223339723,4.192548267474274,0.0,0.041666666666666664
step_00010360,2,10360,directly_optimized_voicepack,majestic_zh,200,0,0.002949935362120717,0.0,0.8280547213554382,0.7420636263489723,3.4737468292791283,3.687822633108878,4.1973567884917555,0.0031746031746031746,
step_00011360,2,11360,directly_optimized_voicepack,majestic_en,200,0,0.0033926137876316344,0.008206367162249515,0.8155314254760743,0.826317334473133,3.377027449711654,3.599297785686021,4.189912872656619,0.0031443244942878103,0.008208594881699663
step_00011360,2,11360,directly_optimized_voicepack,majestic_mixed,50,0,0.00125,0.03333333333333333,0.7717733669281006,0.716256912946701,3.450769908976449,3.6795567645697336,4.190360413884853,0.0008865248226950354,0.041666666666666664
step_00011360,2,11360,directly_optimized_voicepack,majestic_zh,200,0,0.0019521283445768573,0.0,0.8301311254501342,0.7419600480794907,3.4838169002773105,3.696232592262397,4.19964315139814,0.0021164021164021165,
stage2_final,2,11760,directly_optimized_voicepack,majestic_en,200,0,0.0035176137876316337,0.00853724951519069,0.8166589698195458,0.8217608278989792,3.3740705080285625,3.595822014541273,4.190671389897061,0.003249135310764071,0.008208594881699663
stage2_final,2,11760,directly_optimized_voicepack,majestic_mixed,50,0,0.00125,0.03333333333333333,0.776222620010376,0.7207745361328125,3.4493914291923398,3.675028746231849,4.192477819195173,0.0008865248226950354,0.041666666666666664
stage2_final,2,11760,directly_optimized_voicepack,majestic_zh,200,0,0.0016889704498400148,0.0,0.8300996518135071,0.7473889249563217,3.4753829902610254,3.6901453991455924,4.196455631197453,0.001851851851851852,
